participant_id,word,response,length,silent_letters,shared_phonemes,total_difficulty
jj,posteridad,jklk,10,0,1,11
jj,depositar,h h,9,0,1,10
jj,hablado,,7,1,1,9
jj,aletear,,7,0,0,7
jj,yodo,,4,0,1,5
jj,suajili,,7,0,2,9
jj,patilla,,7,0,1,8
jj,posicionar,,10,0,2,12
jj,unidireccional,,14,0,1,15
jj,habanero,,8,1,1,10
jj,voraz,,5,0,2,7
jj,oratorio,,8,0,0,8
jj,proclamar,,9,0,0,9
jj,fiel,,4,0,0,4
jj,chistosamente,,13,0,2,15
jj,arpegiar,,8,0,1,9
jj,hilo,,4,1,0,5
jj,barroquismo,,11,1,3,15
jj,hogar,vtyuggiu,5,1,0,6
jj,mosquitera,,10,1,2,13
jj,inicio,uih,6,0,1,7
jj,soto,,4,0,1,5
jj,linear,jhl,6,0,0,6
jj,ordenado,,8,0,0,8
